Event_Label,Sessions
/system/files/content/resource/files/main/HHRMadrid-May2011-presentation-Assessing-needs.pdf,6
/system/files/content/resource/files/main/hif-evaluation.pdf,6
/system/files/content/resource/files/main/how-to-pretest-and-pilot-a-survey-questionnaire.pdf,6
/system/files/content/resource/files/main/krueger---sagmeister-%282014%29-rte-in-humanitarian-assistance.pdf,6
/system/files/content/resource/files/main/l-nepal-acaps-lessons-learned-social-media-monitoring-sep-2015.pdf,6
/system/files/content/resource/files/main/lcc-impact-evaluation-for-mca-final-version-12thmarch16.pdf,6
/system/files/content/resource/files/main/ml-wws-meal-fragile-contexts-190713-en.pdf,6
/system/files/content/resource/files/main/monitoring-overview.pdf,6
/system/files/content/resource/files/main/odi-paper-binder-witte-2007.pdf,6
/system/files/content/resource/files/main/oom-humanitarianprinciples-eng-june12.pdf,6
/system/files/content/resource/files/main/pathways-to-accountability%2C-the-gap-framework-%28lo-res%29.pdf,6
/system/files/content/resource/files/main/programme-managers-short-training-on-retention-powerpoint.pdf,6
/system/files/content/resource/files/main/remotemanagementapr20101.pdf,6
/system/files/content/resource/files/main/rr-110-001.pdf,6
/system/files/content/resource/files/main/sanctuary-in-the-city-2011-lit-review.pdf,6
/system/files/content/resource/files/main/secretary-general%27s-report-for-whs-2016.pdf,6
/system/files/content/resource/files/main/sofi2017-en-web_0.pdf,6
/system/files/content/resource/files/main/sp7-mm-marikina-squatter-free.pdf,6
/system/files/content/resource/files/main/steets-2011-transition-web.pdf,6
/system/files/content/resource/files/main/syria-october22.pdf,6
/system/files/content/resource/files/main/tajfel-turner-1979-compressed.pdf,6
/system/files/content/resource/files/main/technote1-ethics.pdf,6
/system/files/content/resource/files/main/USAID-OFDA_Guidelines_April_2017.pdf,6
/system/files/content/resource/files/main/web-urbancontextanalysis.pdf,6
/system/files/content/resource/files/main/world-cities-report-2016.pdf,6
/system/files/content/resource/files/summary/erd-2848-summary.pdf,6
/sites/alnap-dev.mrmdev.co.uk/files/content/attachments/2017-10-18/sci-consultant-%28design---layout-for-nutrition-communication-materials%29-26-sep-2017%281%29_0.pdf,5
/sites/alnap-dev.mrmdev.co.uk/files/content/attachments/2017-10-31/Programme%20Manager.pdf,5
/sites/alnap-dev.mrmdev.co.uk/files/content/attachments/2017-11-30/Choosing%20and%20defining%20urban%20areas%20for%20humanitarian%20response.pdf,5
/sites/alnap-dev.mrmdev.co.uk/files/content/attachments/2017-12-13/9136685-Baseline%20assessment%20unicef.pdf,5
